Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Huang, Chien-Ming; Mutlu, Bilge; ",Learning-based modeling of multimodal behaviors for humanlike robots,2014 9th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,57-64,2014,IEEE
"Sauppé, Allison; Mutlu, Bilge; ",Design patterns for exploring and prototyping human-robot interactions,Proceedings of the SIGCHI Conference on Human Factors in Computing Systems,,,1439-1448,2014,
"Rehm, Matthias; Mataric, Maja J; Mutlu, Bilge; Nomura, Tatsuya; ",Culture-aware robotics (CARs),Proceedings of the 2014 ACM/IEEE international conference on Human-robot interaction,,,508-508,2014,
"Ruhland, Kerstin; Andrist, Sean; Badler, Jeremy; Peters, Christopher; Badler, Norman; Gleicher, Michael; Mutlu, Bilge; Mcdonnell, Rachel; ",Look me in the eyes: A survey of eye and gaze animation for virtual agents and artificial systems,Eurographics 2014-State of the Art Reports,,,69-91,2014,
"Kim, Yunkyung; Mutlu, Bilge; ",How social distance shapes human–robot interaction,International Journal of Human-Computer Studies,72,12,783-795,2014,Academic Press
"Sauppé, Allison; Mutlu, Bilge; ",Effective Task Training Strategies for Instructional Robots.,Robotics: Science and Systems,,,,2014,
"Huang, Chien-Ming; Mutlu, Bilge; ",Multivariate evaluation of interactive robot systems,Autonomous Robots,37,4,335-349,2014,Springer US
"Pejsa, Tomislav; Andrist, Sean; Gleicher, Michael; Mutlu, Bilge; ",Gaze and attention management for embodied conversational agents,ACM Transactions on Interactive Intelligent Systems (TiiS),5,1,1-34,2015,"ACM New York, NY, USA"
"Mutlu, Bilge; ",Human-Centered Principles and Methods for Designing Robotic Technologies,,,,,2014,
"Mutlu, Bilge Dinçer; ",New User-centered methods for design innovation: a study on the role of emerging methods in innovative product design and development,,,,,2003,
"Johnson, Steven; Gibson, Madeleine; Mutlu, Bilge; ",Handheld or handsfree? Remote collaboration via lightweight head-mounted displays and handheld devices,Proceedings of the 18th ACM Conference on Computer Supported Cooperative Work & Social Computing,,,1825-1836,2015,
"Forlizzi, Jodi; Mutlu, Bilge; DiSalvo, Carl; ",A Study of How Products Contribute to the Emotional Aspects of Human Experience,Design & Emotion,,,,2004,
"Mutu, Bilge; Forlizzi, Jodi; ",The Chaotic Nature of Human Experience: An Alternative Approach to Determinacy in Understanding Emotions and Experience,Design & Emotion,,,,2004,
"Huang, Chien-Ming; Mutlu, Bilge; ",Modeling Human-Robot Interactions as Systems of Distributed Cognition,2014 AAAI Fall Symposium Series,,,,2014,
"Szafir, Daniel; Mutlu, Bilge; Fong, Terrence; ",Communicating directionality in flying robots,2015 10th ACM/IEEE International Conference on Human-Robot Interaction (HRI),,,19-26,2015,IEEE
"Andrist, Sean; Ziadee, Micheline; Boukaram, Halim; Mutlu, Bilge; Sakr, Majd; ",Effects of culture on the credibility of robot speech: A comparison between english and arabic,Proceedings of the Tenth Annual ACM/IEEE International Conference on Human-Robot Interaction,,,157-164,2015,
"Andrist, Sean; Mutlu, Bilge; Tapus, Adriana; ",Look like me: matching robot personality via gaze to increase motivation,Proceedings of the 33rd annual ACM conference on human factors in computing systems,,,3603-3612,2015,
"Sauppé, Allison; Szafir, Daniel; Huang, Chien-Ming; Mutlu, Bilge; ",From 9 to 90: Engaging learners of all ages,Proceedings of the 46th ACM Technical Symposium on Computer Science Education,,,575-580,2015,
"Sauppé, Allison; Mutlu, Bilge; ",The social impact of a robot co-worker in industrial settings,Proceedings of the 33rd annual ACM conference on human factors in computing systems,,,3613-3622,2015,
"Clodic, Aurélie; Alami, Rachid; Vesper, Cordula; Pacherie, Elisabeth; Mutlu, Bilge; Shah, Julie; ",FJA@ HRI15-Toward a Framework for Joint Action,"HRI 2015 Workshop"" Towards a Framework for Joint Action""",,,,2015,
"Kanaoka, Toshikazu; Mutlu, Bilge; ",Designing a motivational agent for behavior change in physical activity,Proceedings of the 33rd Annual ACM Conference Extended Abstracts on Human Factors in Computing Systems,,,1445-1450,2015,
"Ruhland, Kerstin; Peters, Christopher E; Andrist, Sean; Badler, Jeremy B; Badler, Norman I; Gleicher, Michael; Mutlu, Bilge; McDonnell, Rachel; ","A review of eye gaze in virtual agents, social robotics and hci: Behaviour generation, user interaction and perception",Computer graphics forum,34,6,299-326,2015,
"Duff, Melissa C; Mutlu, Bilge; Byom, Lindsey J; Turkstra, Lyn S; ",Novel theoretical and methodological approaches to disruptions in social communication following acquired brain injury,Routledge Handbook of Communication Disorders,,,404,2015,Routledge
"Huang, Chien-Ming; Cakmak, Maya; Mutlu, Bilge; ",Adaptive Coordination Strategies for Human-Robot Handovers.,Robotics: science and systems,11,,,2015,"Rome, Italy"
"Mutlu, Bilge; ",From Tele-presence to Tele-mobility: Exploring the Design Space for Robotic Communication Products,Proceedings of Human-Computer Interaction Consortium,,,,,
